"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10km";"X";"T10kmRound";"COVERAGE";"BrH";"STA";"GAIN";"NAME";"LZB";"ELECTRIC"
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,509803921568627;56;"55B";9168,11488722324;"G5";FALSE;1
2500;"G";60;"285-2";1;983,383650415768;NA;984;0,902;49;"55B";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,525423728813559;40;"57A";27945,5858148587;"G1";FALSE;1
3000;"G";60;"185-2";1;879,88024673456;NA;880;0,904;40;"57A";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,626865671641791;40;"57B";16188,6338081984;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9104;56;"57B";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,5;54;"61";7510,37600287899;"G2";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,921052631578947;53;"61";1831,46854518732;"G5";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9211;54;"61";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,696969696969697;58;"63B";11019,6386996513;"G2";FALSE;1
