"TFZ";"NUM_TFZ";"VMAX";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"T10km";"T10kmRound";"COVERAGE";"STA";"GAIN";"NAME"
"185-2";1;80;2275;"P";63;FALSE;1;565,049630023443;566;0,9091;"71";0;"S90"
"1144-1";1;90;1484;"P";56;FALSE;1;553,979947127541;554;0,684210526315789;"73";4064,67649653057;"G17"
"180-1";1;90;2284;"G";64;FALSE;1;710,313658532563;711;0,9211;"73";0;"S90"
"4370-1";1;90;1975;"P";56;FALSE;1;549,743140885997;550;0,571428571428571;"741";3214,8950195413;"G1"
"180-1";1;80;2084;"G";55;FALSE;1;683,697100033551;684;0,9038;"741";0;"S90"
"1144-1";1;90;1484;"P";56;FALSE;1;553,979947127541;554;0,754716981132076;"75";6253,34845620088;"G17"
"180-1";1;90;2284;"G";61;FALSE;1;710,313658532563;711;0,9057;"75";0;"S90"
"185-2";1;100;1675;"P";65;FALSE;1;502,506316794503;503;1;"777";187,62993968682;"G12"
"185-2";1;80;2275;"P";54;FALSE;1;565,049630023443;566;0,9136;"777";0;"S90"
"4370-1";1;90;1975;"P";56;FALSE;1;549,743140885997;550;0,645161290322581;"77A";10716,3167318043;"G1"
"180-1";1;80;2084;"G";56;FALSE;1;683,697100033551;684;0,9032;"77A";0;"S90"
"156-1";1;90;2370;"G";56;FALSE;1;597,493577786885;598;0,811764705882353;"77B";9878,18665983341;"G6"
"371-1";1;80;2084;"G";56;FALSE;1;740,655703291717;741;0,9059;"77B";0;"S90"
"185-2";1;100;1675;"P";58;FALSE;1;502,506316794503;503;0,614814814814815;"79";15038,835008841;"G12"
"180-1";1;80;2084;"G";56;FALSE;1;683,697100033551;684;0,904;"79";0;"S90"
"185-2";1;100;1675;"P";58;FALSE;1;502,506316794503;503;0,607476635514019;"81A";11068,070355497;"G12"
"203-1";1;90;1068;"G";61;FALSE;1;672,784322263688;673;0,9065;"81A";0;"S90"
"1144-1";1;90;1484;"P";60;FALSE;1;553,979947127541;554;0,555555555555556;"81B";2800,13634246264;"G17"
"371-1";1;80;2084;"G";56;FALSE;1;740,655703291717;741;0,9036;"81B";0;"S90"
"4370-1";1;90;1975;"P";56;FALSE;1;549,743140885997;550;0,607142857142857;"87";6491,02712179448;"G1"
