"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
175;58;"G";90;1;0,933884297520661;1;0,925619834710744;0,925619834710744;"G1206-1";2690;1;80;1021,47582818879
177;58;"G";90;1;0,933884297520661;1;0,925619834710744;0,925619834710744;"G1206-1";2590;1;80;1016,52311609825
181;58;"G";90;0,975206611570248;0,933884297520661;1;0,925619834710744;0,917355371900826;"DH1004-1";1072;1;90;779,181259904269
184;58;"G";90;0,983471074380165;0,933884297520661;1;0,925619834710744;0,925619834710744;"G1206-3";1687;1;80;848,741788622444
194;58;"G";90;0,917355371900826;0,933884297520661;1;0,925619834710744;0,900826446280992;"152-2";2952;1;90;640,898967445414
204;58;"G";90;0,917355371900826;0,933884297520661;1;0,925619834710744;0,900826446280992;"145-2";2430;1;100;633,441992941703
206;58;"G";90;0,966942148760331;0,933884297520661;1;0,925619834710744;0,925619834710744;"G1700-2";1688;1;90;762,55635926115
219;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"185-2";2935;1;90;658,664144084364
226;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"185-2";3075;1;90;668,816333078269
227;58;"G";90;0,917355371900826;0,933884297520661;1;0,925619834710744;0,900826446280992;"185-2";2585;1;90;616,216136388036
228;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"185-2";3035;1;90;665,874322743458
273;58;"G";90;0,917355371900826;0,933884297520661;1;0,925619834710744;0,900826446280992;"185-2";2665;1;80;622,982313720013
280;58;"G";90;0,933884297520661;0,933884297520661;1;0,925619834710744;0,917355371900826;"155-1";2773;1;90;658,748418404251
283;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"ER 20D-2";1970;1;90;753,487189198305
284;58;"G";90;0,917355371900826;0,933884297520661;1;0,925619834710744;0,900826446280992;"6186-1";2484;1;80;607,974073097375
286;58;"G";90;0,933884297520661;0,933884297520661;1;0,925619834710744;0,917355371900826;"140-1";1833;1;90;630,918833400238
392;58;"G";90;0,917355371900826;0,933884297520661;1;0,925619834710744;0,900826446280992;"185-2";2685;1;100;624,709499322396
415;58;"G";90;0,966942148760331;0,933884297520661;1;0,925619834710744;0,925619834710744;"232-2";2422;1;90;763,52993209362
419;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"151-1";2918;1;80;654,653319877115
